holed_1,holed_2,holed_3,holed_4,holed_5,holed_6,holed_7,holed_8,holed_9,holed_10,holed_11,holed_12,holed_13,holed_14,holed_15,holed_16,holed_17,holed_18,holed_19,holed_20,holed_21,holed_22,holed_23,holed_24,holed_25,holed_26,holed_27,holed_28,holed_29,holed_30,holed_31,holed_32,holed_33,holed_34,holed_35,holed_36,holed_37,holed_38,holed_39,holed_40,holed_41,holed_42,holed_43,holed_44,holed_45,holed_46,holed_47,holed_48,holed_49,holed_50
1317.0,1313.0,23.0,143.0,671.0,80.0,76.0,349.0,113.0,1242.0,132.0,507.01004,70.0,995.0,180.0,57.154152,99.0,266.0,39.0,1052.6669,138.0,30.0,134.0,1727.0,0.0,36.0,212.0,20.799753,50.0,358.683,106.0,46.0,19.0,200.0,200.0,552.0,70.0,51.26646,42.0,80.0,80.0,0.0,313.0,217.0,566.0,126.75554,192.79402,263.0,32.0,0.45358837
1303.0,832.0,23.0,202.0,784.0,65.0,59.0,337.0,111.0,1246.0,124.0,489.0,46.0,1251.0,274.0,41.0,187.0,834.0,56.0,1155.0,136.0,31.0,116.0,1922.0,0.0,137.0,200.0,20.799753,71.0,358.683,51.0,28.0,1.0,199.0,181.0,781.0,87.0,51.26646,80.0,73.0,63.0,0.0,235.0,350.0,645.0,125.30826,186.0,307.0,35.0,0.45358837
1205.0,1003.0,18.0,307.0,541.0,74.0,147.0,1200.0,116.0,1258.0,115.0,355.0,55.0,1793.0,224.0,98.0,1077.0,168.0,57.813164,1115.0,148.0,19.0,144.0,1520.0,0.0,49.0,220.0,20.799753,27.0,358.683,92.0,50.0,0.0,179.0,145.0,947.0,72.0,51.26646,504.0,158.0,86.0,0.0,159.0,387.0,524.0,123.65156,198.0,302.0,86.35614,0.0
947.0,523.0,13.0,237.0,545.0,73.0,283.0,1980.0,133.0,1485.0,301.0,345.0,58.0,2708.0,236.31313,97.0,1643.0,1112.0,59.899754,1079.0,219.50868,77.0,108.0,297.0,0.0,126.0,205.0,20.799753,37.0,358.683,91.0,65.0,0.0,168.0,247.0,1001.0,66.0,51.26646,583.0,290.0,71.0,54.0,192.0,1362.0,632.0,122.7613,207.0,259.0,144.2047,0.0
1138.0,385.0,20.0,514.0,502.0,85.0,323.0,476.0,124.0,1168.0,267.0,338.0,65.0,1804.0,234.0,83.0,1979.0,346.0,54.0,1062.0,278.0,97.0,93.0,211.0,0.0,71.0,186.0,20.799753,42.0,358.683,78.0,46.0,1.0,111.0,314.0,1001.0,108.0,51.26646,581.0,85.0,68.0,74.0,218.0,1443.0,578.0,120.80693,254.0,362.0,167.0,0.0
1015.0,334.0,21.0,842.0,688.0,85.0,271.0,458.0,124.0,952.0,298.0,331.0,65.0,2204.0,197.0,126.0,2075.0,553.0,30.0,994.0,204.0,40.0,150.0,206.0,0.0,151.0,185.0,20.799753,125.0,358.683,93.0,46.0,41.0,202.0,312.0,1001.0,178.0,51.26646,793.0,79.0,80.0,18.0,186.0,824.0,718.5448,117.60805,261.0,576.0,208.0,0.0
1068.0,277.0,16.0,985.0,662.0,84.0,182.0,334.0,123.0,866.0,512.0,373.0,365.0,2427.0,215.0,73.0,2111.0,548.0,70.0,1111.0,280.0,35.623905,118.0,308.0,0.0,57.0,182.0,20.799753,93.0,358.683,132.0,43.0,36.0,160.0,551.0,1001.0,194.0,51.26646,144.0,69.0,69.0,23.919931,106.0,458.0,914.0,114.0,336.0,592.0,285.0,0.0
927.0,263.0,17.0,921.9085,678.0,69.0,221.0,272.0,137.0,840.0,437.0,371.0,58.0,2810.0,170.0,167.0,1833.8679,327.0,46.0,1031.0,327.0,22.293974,130.0,193.0,0.0,173.0,193.0,20.799753,296.0,358.683,136.0,57.0,2.0,135.0,489.0,1001.0,128.95677,51.26646,75.0,89.0,60.0,4.0,99.0,571.0,577.0,118.0,494.0,708.0,39.0,0.0
953.0,337.0,23.0,1001.0,603.0,129.0,306.0,830.0,125.0,679.0,241.0,412.0,121.0,1754.0,164.0,124.0,1719.0,798.0,24.0,1047.0,140.0,14.0,119.0,238.0,0.0,58.0,189.0,20.799753,189.0,358.683,85.0,65.42587,0.0,198.0,416.0,1001.0,59.0,51.26646,45.0,132.0,89.0,4.0,85.0,757.0,615.1434,115.0,496.0,566.0,32.0,0.0
896.0,370.0,21.0,250.0,345.0,191.80777,125.0,1301.0,128.0,778.4085,169.0,346.0,79.0,1852.0,133.0,179.0,2184.0,429.0,61.0,1110.0,111.0,21.0,90.0,281.0,0.0,77.0,211.0,20.799753,173.0,358.683,98.0,70.0,1.0,175.0,267.0,153.0,90.0,51.26646,90.0,82.0,89.0,32.0,101.0,613.0,644.0,118.995995,443.0,24.0,44.0,0.0
726.0,428.0,12.0,52.0,283.0,226.0,91.0,1113.9835,119.0,800.42413,153.0,489.0,229.0,1160.0,137.0,113.0,930.0,704.0,19.0,1105.0,109.0,34.712536,139.0,427.0,0.0,132.0,182.0,20.799753,168.0,358.683,88.0,75.60493,6.0,98.0,254.91014,29.0,85.0,51.26646,54.0,91.0,72.0,0.0,96.0,545.0,604.0,120.86551,524.0,30.0,394.0,0.45358837
1097.0,432.0,18.0,342.0,660.0,184.44751,78.0,1327.0,126.0,834.0,145.0,390.0,49.0,2096.0,102.0,138.0,114.0,779.3026,39.0,991.0,111.0,39.0,110.0,1134.0,0.0,92.0,182.9038,20.799753,161.0,358.683,114.0,83.0,43.0,64.0,198.0,704.0,140.0,51.26646,83.0,39.0,85.0,0.0,74.0,477.0,660.0,118.0,660.0,8.222515,53.0,0.0
697.0511,463.0,18.0,0.0,575.0,148.0,83.0,1560.0,97.0,838.0,611.0,373.0,92.0,1636.0,47.0,111.0,148.0,1405.0,44.0,1076.0,156.0,24.0,122.97401,307.0,0.0,100.0,182.0,20.799753,94.0,358.683,50.0,30.0,46.0,334.0,238.0,0.0,78.0,51.26646,78.0,120.0,95.0,0.0,94.0,511.0,611.0,130.0,688.0,15.0,32.0,0.0
429.0,452.0,19.948032,0.0,598.0,150.0,119.0,1363.0,137.0,961.0,457.0,328.0,77.0,1632.0,42.0,137.0,189.0,610.0,34.0,1133.0,278.0,13.0,136.0,341.0,0.0,172.0,184.0,20.799753,137.0,358.683,116.0,40.0,4.0,268.0,297.0,0.0,91.0,51.26646,53.0,100.0,102.0,0.0,84.0,614.0,857.0,169.0,686.0,50.0,35.0,0.0
1059.0,469.85562,16.0,0.0,875.0,113.0,201.0,510.0,146.0,1043.0,291.0,452.0,79.0,1236.1478,40.0,137.39085,186.0,564.0,57.0,998.0,130.0,17.0,87.0,263.0,0.0,75.0,169.0,20.799753,347.0,358.683,106.0,46.0,0.0,122.0,220.0,0.0,90.0,51.26646,85.0,124.0,43.0,2.0,108.0,468.0,884.0,109.0,464.0,47.0,37.0,0.0
1019.0,469.25156,17.0,0.0,872.0,113.0,92.0,494.9929,145.0,1234.0,280.0,367.0,68.0,1215.0,46.0,126.0,354.0,949.0,25.0,1178.0,450.0,17.0,149.0,316.0,0.0,106.0,186.0,20.799753,275.0,358.683,110.0,42.0,2.0,157.0,339.0,2.0,113.0,51.26646,151.0,64.0,52.0,166.0,85.0,470.0,738.0,118.0,557.0,28.0,45.0,0.0
976.0,456.0,18.0,0.0,970.0,63.0,88.0,393.0,122.0,1066.0,251.0,345.92047,85.0,1460.0,145.0,214.0,1144.0,811.0,57.0,1066.0,398.0,13.0,152.0,335.0,0.0,108.0,170.0,20.799753,126.0,358.683,105.0,70.0,29.0,179.0,193.0,0.0,226.0,51.26646,100.82556,278.0,104.0,495.0,160.0,755.0,660.0,109.0,525.0,10.0,35.0,0.0
969.0,373.0,19.0,0.0,955.0,88.0,119.0,327.0,127.0,994.0,213.0,317.0,66.0,1279.0,169.0,377.0,258.0,186.0,40.0,1035.0,364.0,35.0,105.0,399.9882,0.0,49.0,169.0,20.799753,74.0,358.683,101.0,40.0,60.0,188.0,204.0,0.0,118.0,51.26646,70.0,232.0,81.0,217.0,145.0,531.0,666.0,116.0,505.0,55.0,41.0,0.0
1237.0,297.0,31.0,0.0,1070.0,110.0,115.0,328.0,156.0,912.0,204.0,271.0,75.3678,870.0,123.0,125.0,204.0,1161.0,28.0,1048.0,260.3889,40.17541,116.0,376.0,0.0,69.0,165.0,20.799753,77.0,358.683,99.0,38.0,86.0,96.0,189.0,0.0,249.0,51.26646,70.0,246.0,70.0,41.0,155.0,605.0,497.0,122.0,449.0,29.0,33.0,0.0
656.0,1062.0,19.0,0.0,871.0,83.0,98.0,340.0,143.0,1155.0,188.0,275.0,73.0,1032.0,166.0,164.0,205.0,248.0,43.0,1032.0,182.0,39.974483,144.0,419.0,0.0,474.0,176.0,20.799753,224.0,358.683,95.0,45.0,73.0,114.0,188.0,0.0,188.0,51.26646,54.0,352.0,60.0,0.0,163.0,513.0,612.0,129.0,423.0,6.0,48.0,0.0
930.0,649.0,21.0,2.0,1040.0,87.0,93.0,265.0,158.0,972.0,147.0,369.0,68.0,852.0,181.0,130.0,265.0,420.0,29.0,1207.0,157.0,35.0,148.0,450.0,0.0,485.0,155.0,20.799753,243.0,358.683,323.64624,30.0,61.35477,184.0,208.0,0.0,151.0,51.26646,28.0,290.0,54.0,1.0,96.0,751.0,532.0,137.0,444.0,31.0,39.0,0.0
867.496,630.0,17.0,0.0,1131.0,94.0,94.0,416.0,118.0,874.0,141.0,431.0,55.0,858.0,184.0,112.0,323.0,902.0,32.0,909.0,88.0,38.0,129.0,568.0,0.0,239.0,170.0,20.799753,228.0,358.683,572.0,64.0,46.0,206.0,216.0,0.0,98.0,51.26646,93.0,339.0,93.0,26.987595,113.0,458.0,630.0,132.11812,436.0,38.0,39.0,0.0
870.0,405.0,19.0,8.0,1068.0,70.0,80.0,283.0,115.0,760.0,104.0,449.0,184.0,1129.0,170.0,114.0,11.0,260.0,34.316616,892.0,98.16335,22.0,186.0,783.9504,0.0,289.0,149.0,20.799753,91.0,358.683,442.0,98.86162,52.0,179.0,218.62071,1.0,138.0,51.26646,96.0,311.0,94.0,94.0,106.0,871.95905,777.0,122.0,426.0,14.0,117.0,0.0
1161.0,684.0,18.0,23.291924,1054.0,85.0,106.0,458.0,107.0,745.0,110.9608,469.0,310.0,1268.0,180.0,130.0,142.0,1223.0,25.0,913.0,100.0,25.0,131.0,962.0,0.0,643.0,160.0,20.799753,167.0,358.683,464.0,73.0,3.0,136.0,225.39833,54.88855,74.0,51.26646,76.0,239.0,221.0,0.0,89.0,1326.0,966.0,111.0,431.0,9.0,39.0,0.0
368.0,878.0,20.0,17.0,1260.0,89.0,114.0,1570.0,112.0,660.0,107.0,370.0,203.0,1020.0,157.0,111.0,1473.0,299.0,39.0,995.67957,126.0,32.0,113.0,991.16754,0.0,908.0,196.0,20.799753,65.0,358.683,191.0,64.0,1.0,146.0,224.68762,146.0,97.20209,51.26646,77.0,276.0,273.0,1.785815,189.0,1192.0,665.0,127.0,462.0,46.0,39.0,0.0
678.0,724.0,23.0,22.0,1110.0,151.0,109.0,1594.0,222.0,612.0,148.0,389.0,64.0,1396.0,175.0,129.0,1234.0,361.0,19.0,1117.0,130.0,39.0,119.0,1013.53986,0.0,733.0,217.0,20.799753,73.0,358.683,104.0,390.0,14.0,167.0,226.26245,609.0,112.0,51.26646,88.75844,279.0,286.09982,57.02772,261.0,1162.0,770.0,132.0,518.0,56.0,45.0,0.0
693.0,878.0,17.0,0.0,116.0,85.0,90.0,596.0,127.0,601.0,126.0,346.0,97.0,1343.0,170.0,123.0,1446.0,504.0,24.0,992.0,140.0,44.324745,152.0,991.0,0.0,648.0,163.0,20.799753,66.0,358.683,505.0,79.0,116.0,171.0,222.71788,991.0,79.0,51.26646,99.0,325.0,290.1193,87.0,238.0,1065.0,659.0,212.0,502.0,16.0,38.0,0.0
713.0,749.0,18.0,0.0,779.0,90.0,98.0,278.0,116.0,584.0,137.0,428.0,51.0,1202.2585,170.0,172.0,1612.0,287.0,202.0,1006.0,141.0,38.0,154.0,1267.0,0.0,475.0,228.0,20.799753,38.0,358.683,655.0,212.0,17.0,124.0,226.3503,1001.0,75.0,51.26646,106.0,368.0,283.0,31.0,241.0,1026.0,692.0,127.0,521.0,8.0,54.0,0.0
872.0,551.0,20.0,0.0,235.0,85.0,100.0,452.0,120.0,529.0,125.73708,436.0,71.0,1068.0,150.0,204.0,847.0,619.0,189.0,1066.0,164.68639,110.0,138.0,919.0,0.45358837,694.0,180.0,20.799753,37.0,358.683,126.0,117.0,23.0,193.0,231.704,1001.0,85.0,51.26646,20.0,370.0,294.0,64.0,156.0,1035.0697,992.0,173.14114,550.0,66.0,164.0,0.0
871.0,567.4799,19.0,0.0,216.0,64.0,142.0,931.0,269.0,1014.0,119.0,443.0,78.00106,1460.0,188.0,176.0,858.0,208.0,95.0,1121.0,187.0,149.0,120.0,922.0,0.0,930.0,216.0,20.813887,112.0,357.3014,112.0,65.0,8.0,104.0,236.18982,1001.0,66.0,51.20978,110.0,337.0,271.0,0.0,136.0,1104.9424,869.0,224.75865,622.0,8.0,61.0,0.0
818.0,564.0,18.0,6.0,208.43439,185.0,141.78865,837.0,288.0,1473.0,104.0,470.0,68.0,1498.0,184.0,236.0,962.0,410.0,95.67057,1100.0,152.0,155.0,195.0,1077.0,0.0,762.0,265.0,20.764288,308.0,356.48697,382.0,96.0,37.0,176.0,228.0,771.0,75.0,51.181385,58.0,283.0,271.0,0.0,116.0,1139.0,795.0,279.0,516.0,20.0,89.0,0.0
764.0,553.0,16.0,21.0,148.0,225.05357,135.13623,1723.0,153.0,1431.0,83.0,500.0,53.0,1364.0,185.0,209.0,254.0,533.0,100.61954,1307.0,139.0,78.0,126.0,1003.0,0.0,390.0,263.2516,20.669525,426.0,356.29865,402.0,53.0,44.0,136.0,346.0,413.0,91.0,51.204037,98.0,369.0,307.0,1.0,103.0,1076.0,871.0,188.994,561.0,143.0,36.0,0.0
703.0,608.0,21.0,0.0,161.0,218.0,128.17136,338.0,136.0,1229.0,133.0,373.0,91.0,1338.0,217.0,181.0,435.0,114.0,84.0,1162.0,146.0,90.0,117.0,705.0,0.0,304.0,219.29498,20.68937,95.0,360.54025,239.0,95.0,77.0,181.0,432.0,653.0,98.0,51.307236,144.0,424.0,269.0,30.0,101.0,1149.0,990.0,121.0,522.0,219.0,29.0,0.0
681.0,696.0,22.0,0.0,102.0,212.0,124.53788,704.0,130.0,1215.0,122.0,1610.0,66.0,930.0,194.0,192.0,588.0,848.0,79.0,1113.0,148.0,77.22855,88.0,453.0,0.0,323.0,194.0,20.94732,47.0,364.38568,117.0,69.0,8.0,176.0,478.0,3.0,96.0,51.13628,75.0,381.0,224.0,19.0,87.0,1179.0,723.0,130.0,521.0,226.0,30.0,0.0
676.0,301.0,22.6539,0.0,138.0,167.0,121.348045,1165.0,127.0,996.0,104.0,1314.0,60.0,920.0,195.0,151.0,756.0,85.0,72.0,1022.0,155.0,46.0,103.0,459.0,0.0,291.0,210.3386,20.807547,44.0,370.4403,195.0,82.0,1.0,153.0,486.0,0.0,108.0,51.25029,51.0,406.0,231.0,4.0,278.0,784.0,1317.0,130.0,499.0,144.0,38.0,0.0
680.0,326.0,17.0,1.0,139.0,129.0,116.25568,573.39954,116.0,1060.0,106.0,1486.0,51.0,936.0,196.0,165.0,747.0,776.0,84.0,1049.5304,149.0,45.0,152.0,466.0,0.0,262.0,208.0,20.82425,34.0,354.49893,95.0,82.0,13.0,136.0,261.0,0.0,110.0,51.01875,78.0,449.0,260.0,0.0,323.0,417.0,651.0,191.0,389.0,150.0,42.0,0.0
678.0,301.0,23.0,1.0,131.0,116.0,111.74217,362.0,120.0,1127.2692,119.0,1065.0,66.7068,901.0,111.0,135.0,70.0,602.0,29.0,1053.3275,150.0,36.0,175.0,450.0,0.0,153.0,210.0,20.681932,36.0,363.27277,75.0,66.0,37.0,189.0,228.0,1.785815,85.0,51.21775,55.0,224.0,268.0,0.0,306.0,235.0,599.0,216.80725,387.0,103.0,39.0,0.45358837
681.0,301.0,17.0,0.0,154.0,95.0,109.76247,432.0,112.0,1218.0378,119.0,588.0,77.0,864.0,224.0,112.0,239.0,632.0,52.0,1072.0878,119.0,21.0,148.0,441.0,0.0,130.0,607.0,20.705812,51.0,359.95587,92.0,66.0,53.0,146.0,215.0,0.0,367.0,51.037422,53.0,98.0,212.0,699.0,327.0,307.0,657.0,225.64714,461.0,68.0,38.0,0.0
641.0,222.0,21.812729,0.0,151.8013,134.0,101.0,459.0,122.0,1366.0,84.0,449.0,80.0,891.0,84.0,91.0,136.68259,389.0,53.0,1093.0,128.0,18.0,173.0,399.0,0.0,82.0,192.0,18.0,30.0,361.0,102.0,47.0,15.0,169.0,227.0,1.0,330.0,49.0,32.0,90.0,110.0,731.29926,236.0,293.0,672.0,249.0,396.64465,12.0,38.0,0.45358837
659.0,212.0,21.0,0.0,147.80843,80.0,115.0,412.0,135.0,882.0,114.0,383.0,71.0,953.0,89.0,118.0,122.919495,979.0,35.0,1078.0,126.721985,31.0,96.0,401.0,0.0,100.0,216.0,19.0,74.0,280.0,79.0,56.0,0.0,108.0,237.0,4.0,140.0,45.0,38.0,350.0,117.0,678.2193,301.0,843.0,697.0,196.20575,359.0,39.0,34.0,0.45358837
673.0,272.0,21.06064,12.331008,147.86429,87.0,136.0,410.0,132.0,940.0,116.0,457.0,56.0,766.0,65.0,106.0,45.0,563.0,41.0,1151.0,125.0,20.0,118.0,408.0,0.0,101.0,209.0,14.0,36.0,332.0,74.0,45.0,0.0,141.0,228.0,5.0,80.0,49.0,52.0,484.0,109.0,680.4153,61.0,990.0,687.0,139.0,292.0,14.0,33.0,0.0
531.0,557.0,14.0,16.0,145.44022,79.0,96.0,324.0,127.0,934.97174,83.0,531.0,72.0,961.0,63.0,95.76755,76.0,846.0,36.91606,1194.0,110.0,16.0,156.0,400.0,0.0,66.0,211.0,14.0,28.0,241.0,82.0,42.0,1.0,180.0,196.0,52.0,84.0,45.0,23.0,447.62674,99.0,665.7947,62.0,796.0,670.0,122.0,336.0,24.0,39.793217,0.0
389.0,373.0,20.0,21.0,142.19131,73.0,117.0,475.0,410.0,883.0,120.0,529.0,57.0,940.0,107.0,80.0,115.0,904.0,20.0,1118.0,102.0,26.0,121.0,428.0,0.0,105.0,198.0,15.0,45.0,595.0,67.0,53.0,3.0,84.0,227.0,42.0,59.0,50.0,32.0,433.0,93.0,613.8429,42.0,763.0,569.0,128.0,360.0,53.0,46.86912,0.0
1290.0,319.0,20.0,24.0,141.14893,59.0,133.0,392.0,391.0,1046.0,110.0,573.0,57.0,946.0,49.0,71.0,165.0,233.0,37.0,1147.0,99.0,35.0,125.0,406.0,0.0,81.0,211.0,18.0,36.0,556.0,59.0,47.0,15.0,113.749985,193.0,37.0,92.0,46.0,78.0,404.0,283.0,644.12695,46.0,425.0,542.0,123.0,299.0,3.0,39.0,0.0
1553.0,328.0,24.681252,50.0,138.63284,75.0,104.0,403.0,302.0,907.0,89.0,514.0,63.0,923.0,46.0,104.0,153.0,1172.0,42.0,1240.0,112.22771,35.0,165.0,1293.0,0.45358837,100.0,204.0,16.0,32.0,520.0,62.0,53.0,9.0,124.0,209.0,252.45035,50.0,44.0,18.0,311.0,367.0,605.529,53.0,327.0,620.0,123.0,472.0,49.0,38.0,0.0
934.0,321.0,24.0,50.0,136.18549,63.0,103.0,444.0,280.0,808.0,128.0,550.0,63.0,909.0,47.0,83.0,141.0,570.0,30.0,1263.0,123.300026,26.0,158.0,1344.0,0.0,89.0,220.0,20.493504,44.0,555.0,78.0,33.0,15.0,150.0,179.0,573.0,100.0,50.0,54.0,291.0,299.0,581.52454,52.0,343.0,670.0,116.0,437.0,12.0,36.0,0.45358837
1256.0,605.51337,25.0,82.0,134.26947,80.82519,114.0,460.0,224.76976,822.0,75.0,793.0,61.0,869.0,54.0,58.0,124.0,929.0,39.67885,1146.0,135.0,14.0,158.0,1253.0,0.0,76.0,194.0,15.0,101.0,550.0,52.0,44.0,2.0,147.0,186.0,926.0,55.0,46.0,75.0,124.0,83.0,562.39056,35.0,324.0,582.0,126.0,289.0,9.0,36.0,0.0
1318.0,1072.0,17.0,58.0,132.24068,86.396416,104.0,465.0,132.0,1023.0,134.0,537.0,28.0,910.0,84.0,63.0,122.0,917.0,30.0,1175.0,95.0,24.0,128.0,1332.0,0.0,144.0,217.0,16.0,40.0,401.0,120.0,64.0,1.0,153.0,188.0,1000.0,58.0,48.0,52.0,78.0,81.0,548.3878,38.0,340.0,564.0,164.0,283.0,124.0,26.0,0.0
960.0,677.0,27.0,68.0,130.02875,99.68722,106.0,505.0,182.74226,1005.0,102.0,472.907,148.0,937.0,259.0,76.116455,71.0,1583.0,29.0,1242.0,104.0,39.0,140.0,1408.4014,0.0,124.332504,221.0,14.0,44.0,397.9229,78.0,26.0,2.0,168.0,220.0,1001.0,84.0,49.0,56.0,80.0,94.65444,534.25275,287.0,541.0,554.0,194.0,284.0,151.0,36.0,0.0
1167.0,484.0,28.812918,90.0,127.81683,116.03788,124.09883,398.0,197.22876,1197.0,127.0,413.0,62.0,841.0,255.0,84.559,142.0,246.0,63.0,1147.0,156.0,39.0,146.0,1454.0,0.0,131.0,210.0,14.0,68.0,322.45996,80.0,55.0,2.0,126.0,198.0,1001.0,90.0,50.0,52.0,77.0,89.78264,520.1177,261.0,520.0,655.0,223.0,285.0,143.0,32.0,0.0
1552.0,744.0,24.0,99.0,125.604904,130.05493,115.0,588.0,251.0,1246.0,144.0,412.0,48.0,908.0,122.0,91.0,926.0,1204.0,42.0,1156.3752,162.0,32.0,174.0,1282.0,0.0,62.0,218.0,17.0,29.0,274.0,152.0,51.0,13.0,164.34843,200.0,1001.0,53.0,51.424923,247.0,84.0,99.0,505.98264,264.0,525.12866,767.0,168.0,284.0,16.0,30.0,0.0
1083.0,641.0,19.0,128.0,123.393,145.04999,137.0,454.0,161.0,1159.0,142.0,323.0,75.0,850.0,136.0,87.0,1854.0,624.0,46.0,1170.1538,231.0,23.0,120.0,770.0,0.0,143.0,204.0,21.0,41.0,252.0,85.0,40.0,50.0,203.0,228.0,1001.0,66.0,48.0,257.0,473.0,90.0,491.84763,303.0,555.56165,599.0,118.0,283.0,264.0,167.0,0.0
1144.2285,396.0,22.0,219.0,121.18107,149.71175,292.0,505.0,134.0,1070.0,235.0,316.0,65.0,820.0,270.0,82.0,1992.0,929.0,98.0,1213.0,172.0,28.0,122.0,575.0,0.0,59.0,173.0,19.0,113.68521,242.0,91.25367,50.0,5.0,129.0,203.0,1001.0,91.0,50.0,207.0,321.0,81.0,477.71252,273.0,581.68195,624.0,117.0,282.0,30.0,69.2165,0.0
1213.0,506.0,16.0,250.0,118.96916,159.0453,281.0,549.0,265.0,1286.0,198.0,387.0,65.0,798.0,229.0,126.0,2341.0,490.0,36.0,1053.0,147.58057,39.0,139.0,1027.0,0.0,116.0,172.0,19.0,154.0,246.0,92.517715,121.0,1.0,175.0,200.0,990.0,98.0,56.0,162.0,59.0,105.0,463.57748,246.0,585.1697,877.0,122.0,286.0,56.0,34.0,0.0
